Problem Number;Problem Sub Status;Problem Change Date+Time;Problem Status
1-109135791;Awaiting Assignment;2006-01-11T15:49:42+01:00;Queued
1-109135791;In Progress;2012-03-15T11:53:52+01:00;Accepted
1-109135791;Assigned;2012-03-15T11:56:17+01:00;Accepted
1-109135791;In Progress;2012-03-15T12:09:05+01:00;Accepted
1-109135791;Closed;2012-03-15T12:11:33+01:00;Completed
1-147898401;In Progress;2006-11-07T10:00:36+01:00;Accepted
1-147898401;In Progress;2006-11-07T13:05:44+01:00;Accepted
1-147898401;Wait;2009-12-02T14:24:32+01:00;Accepted
1-147898401;In Progress;2011-09-03T06:09:09+01:00;Accepted
1-147898401;In Progress;2012-01-20T10:23:24+01:00;Accepted
1-147898401;Closed;2012-01-20T10:23:27+01:00;Completed
1-165554831;In Progress;2007-03-20T09:06:25+01:00;Accepted
1-165554831;Wait;2009-12-02T14:24:31+01:00;Accepted
1-165554831;In Progress;2011-09-03T06:10:53+01:00;Accepted
1-165554831;In Progress;2012-01-18T08:52:41+01:00;Accepted
1-165554831;Closed;2012-01-18T08:52:43+01:00;Completed
1-172473423;In Progress;2007-05-10T15:21:54+01:00;Accepted
1-172473423;Wait;2009-12-02T14:24:33+01:00;Accepted
1-172473423;In Progress;2011-09-03T06:10:59+01:00;Accepted
1-172473423;In Progress;2012-01-18T08:20:53+01:00;Accepted
1-172473423;Closed;2012-01-18T08:21:10+01:00;Completed
1-182640781;In Progress;2007-07-25T13:21:05+01:00;Accepted
1-182640781;Wait;2009-12-02T14:24:32+01:00;Accepted
1-182640781;Awaiting Assignment;2010-08-25T10:13:01+01:00;Queued
1-182640781;In Progress;2011-09-05T08:24:13+01:00;Accepted
1-182640781;Assigned;2011-11-14T16:10:25+01:00;Accepted
1-182640781;In Progress;2012-01-03T11:30:35+01:00;Accepted
1-182640781;Closed;2012-01-03T11:31:53+01:00;Completed
1-230541365;In Progress;2008-05-07T17:58:51+01:00;Accepted
1-230541365;In Progress;2008-10-06T15:44:37+01:00;Accepted
1-230541365;Wait;2009-12-02T14:24:34+01:00;Accepted
1-230541365;In Progress;2011-09-01T23:27:50+01:00;Accepted
1-230541365;In Progress;2011-09-01T23:27:55+01:00;Accepted
1-230541365;In Progress;2012-01-20T07:53:32+01:00;Accepted
1-230541365;Closed;2012-01-20T07:53:35+01:00;Completed
1-236817141;In Progress;2008-06-04T11:02:18+01:00;Accepted
1-236817141;Wait;2009-12-02T14:24:34+01:00;Accepted
1-236817141;Awaiting Assignment;2010-08-25T10:06:45+01:00;Queued
1-236817141;In Progress;2011-09-03T07:02:11+01:00;Accepted
1-236817141;Assigned;2011-11-14T16:09:27+01:00;Accepted
1-236817141;In Progress;2012-01-05T14:08:18+01:00;Accepted
1-236817141;Closed;2012-01-05T14:09:00+01:00;Completed
1-270399977;In Progress;2008-11-13T09:43:32+01:00;Accepted
1-270399977;In Progress;2012-01-30T10:56:24+01:00;Accepted
1-270399977;In Progress;2012-01-30T11:12:05+01:00;Accepted
1-270399977;Awaiting Assignment;2012-02-16T14:52:16+01:00;Queued
1-270399977;In Progress;2012-02-16T15:09:17+01:00;Accepted
1-270399977;Awaiting Assignment;2012-02-16T15:09:43+01:00;Queued
1-270399977;In Progress;2012-02-16T15:10:10+01:00;Accepted
1-270399977;Closed;2012-03-19T09:26:32+01:00;Completed
1-270427461;In Progress;2008-11-13T11:01:04+01:00;Accepted
1-270427461;Wait;2009-12-02T14:24:35+01:00;Accepted
1-270427461;In Progress;2011-11-14T15:57:27+01:00;Accepted
1-270427461;In Progress;2012-01-18T10:17:14+01:00;Accepted
1-270427461;Closed;2012-01-18T10:19:21+01:00;Completed
1-310231291;In Progress;2009-06-25T08:47:52+01:00;Accepted
1-310231291;In Progress;2012-03-28T12:10:36+01:00;Accepted
1-310231291;Closed;2012-03-28T12:12:08+01:00;Completed
1-316086072;In Progress;2009-08-11T07:44:51+01:00;Accepted
1-316086072;Awaiting Assignment;2009-08-11T07:55:12+01:00;Queued
1-316086072;Assigned;2009-08-11T11:01:25+01:00;Accepted
1-316086072;Awaiting Assignment;2010-05-18T11:35:53+01:00;Queued
1-316086072;In Progress;2010-06-16T11:00:32+01:00;Accepted
1-316086072;Wait;2011-10-01T21:40:28+01:00;Accepted
1-316086072;Awaiting Assignment;2011-12-07T12:41:00+01:00;Queued
1-316086072;In Progress;2012-02-15T12:01:20+01:00;Accepted
1-316086072;Closed;2012-02-19T21:57:21+01:00;Completed
1-320604521;In Progress;2009-09-07T13:33:24+01:00;Accepted
